id,inputMask,inputPattern,outputMask,outputPattern
R73,####-##-##,JJJJ-MM-TT,####-##-##,JJJJ-MM-TT
R74,####-#### (####-####),JJJJ-ZZZZ (NNNN-OOOO),####/####,JJJJ/ZZZZ
R75,####-#### (##.me),JJJJ-ZZZZ (NN.me),####/####,JJJJ/ZZZZ
R76,####-##-##/####-##-##,JJJJ-MM-TT/ZZZZ-YY-XX,####-##-##/####-##-##,JJJJ-MM-TT/ZZZZ-YY-XX
R77,####-##-##T##:##:##+##:##,JJJJ-MM-TTTHH:NN:SS+OO:PP,####-##-##,JJJJ-MM-TT
R78,####-##-00,JJJJ-MM-00,####-##,JJJJ-MM
R79,####(####) -,JJJJ(ZZZZ) -,ab ####,ab JJJJ
R80,####(####) - ####(####),JJJJ(ZZZZ) - XXXX(YYYY),####/####,JJJJ/XXXX
R81,####),JJJJ),####,JJJJ
R82,"####, ####","JJJJ, ZZZZ","####,####","JJJJ,ZZZZ"
R83,"####, #### ? ####","JJJJ, ZZZZ ? XXXX",####/####,JJJJ/XXXX
R84,"####, ####, ####","JJJJ, ZZZZ, XXXX","####,####,####","JJJJ,ZZZZ,XXXX"
R85,"####, ####, ####, ####","JJJJ, XXXX, YYYY, ZZZZ","####,####,####,####","JJJJ,XXXX,YYYY,ZZZZ"
R86,"####, ####, ####, ####, ####","JJJJ, XXXX, YYYY, ZZZZ, TTTT","####,####,####,####,####","JJJJ,XXXX,YYYY,ZZZZ,TTTT"
R87,"####, ##.","JJJJ, MM.",####-##,JJJJ-MM
R88,"####, ##. ##","JJJJ, MM. TT",####-##-##,JJJJ-MM-TT
R89,"####, ##. MM","JJJJ, TT. MM",####-##-##,JJJJ-MM-TT
R90,"####, #. MM","JJJJ, T. MM",####-##-0#,JJJJ-MM-0T
R91,"####, (####)","JJJJ, (ZZZZ)",####,JJJJ
R92,"####, [####?]","JJJJ, [ZZZZ?]",vermutlich ####,vermutlich JJJJ
R93,"####, [####]","JJJJ, [ZZZZ]",####,JJJJ
R94,"####, [ca. ####]","JJJJ, [ca. ZZZZ]",um ####,um JJJJ
R95,"####, c ####","JJJJ, c ZZZZ",####,JJJJ
R96,"####, MM","JJJJ, MM",####-##,JJJJ-MM
R97,"####, MM-####, MM","JJJJ, MM-ZZZZ, YY",####-##/####-##,JJJJ-MM/ZZZZ-YY
R98,"####,# -","JJJJ,N -",ab ####,ab JJJJ
R99,####. ##,JJJJ. NN,####,JJJJ
R100,####. ####,JJJJ. ZZZZ,####,JJJJ
R101,####. ##. ##,JJJJ. MM. TT,####-##-##,JJJJ-MM-TT
R102,####.##,JJJJ.NN,####,JJJJ
R103,####.##-##,JJJJ.NN-OO,####,JJJJ
R104,####.##.,JJJJ.NN.,####,JJJJ
R105,####.##.##,JJJJ.MM.TT,####-##-##,JJJJ-MM-TT
R106,####.##.##.,JJJJ.MM.TT.,####-##-##,JJJJ-MM-TT
