id,inputMask,inputPattern,outputMask,outputPattern
R175,(ca. ####),(ca. JJJJ),um ####,um JJJJ
R176,[### MM #],[JJJ MM T],0###-##-0#,0JJJ-MM-0T
R177,[#### - ####],[JJJJ - ZZZZ],####/####,JJJJ/ZZZZ
R178,[#### ?],[JJJJ ?],um ####,um JJJJ
R179,[#### Jh.],[JJZZ Jh.],##. Jahrhundert,JJ. Jahrhundert
R180,[#### MM #],[JJJJ MM T],####-##-0#,JJJJ-MM-0T
R181,[####-####],[JJJJ-ZZZZ],####/####,JJJJ/ZZZZ
R182,[####-####],[JJJJ-ZZZZ],####/####,JJJJ/ZZZZ
R183,[####/##],[JJJJ/ZZ],"####,####","JJJJ,JJZZ"
R184,[####?],[JJJJ?],vermutlich ####,vermutlich JJJJ
R185,[####],[JJJJ],####,JJJJ
R186,[####] = ####,[JJJJ] = ZZZZ,####,JJJJ
R187,[####] = #### [h.],[JJJJ] = ZZZZ [h.],####,JJJJ
R188,[####] = #### h.,[JJJJ] = ZZZZ h.,####,JJJJ
R189,[###] MM ##,[JJJ] MM TT,0###-##-##,0JJJ-MM-TT
R190,[##. - ##. Jh.],[JJ. - ZZ. Jh.],##. Jahrhundert/##. Jahrhundert,JJ. Jahrhundert/ZZ. Jahrhundert
R191,[##. Jahrh.],[JJ. Jahrh.],##. Jahrhundert,JJ. Jahrhundert
R192,[##. Jh. Anfang],[JJ. Jh. Anfang],Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert
R193,[##. Jh.],[JJ. Jh.],##. Jahrhundert,JJ. Jahrhundert
R194,[##. und ##. Jh.],[JJ. und ZZ. Jh.],"##. Jahrhundert,##. Jahrhundert","JJ. Jahrhundert,ZZ. Jahrhundert"
R195,[##]##,[JJ]ZZ,####,JJZZ
R196,[##]##.##.##.,[JJ]ZZ.MM.TT.,####-##-##,JJZZ-MM-TT
R197,[#. Drittel ##. Jh.],[Z. Drittel JJ. Jh.],#. Drittel ##. Jahrhundert,Z. Drittel JJ. Jahrhundert
R198,[#. Drittel des ##. Jh.],[Z. Drittel des JJ. Jh.],#. Drittel ##. Jahrhundert,Z. Drittel JJ. Jahrhundert
R199,[#. Drittel des #. Jh.],[Z. Drittel des J. Jh.],#. Drittel #. Jahrhundert,Z. Drittel J. Jahrhundert
R200,[#. Hälfte ##. Jahrh.],[Z. Hälfte JJ. Jahrh.],#. Hälfte ##. Jahrhundert,Z. Hälfte JJ. Jahrhundert
R201,[#. Hälfte ##. Jh.],[Z. Hälfte JJ. Jh.],#. Hälfte ##. Jahrhundert,Z. Hälfte JJ. Jahrhundert
R202,[#. Hälfte des ##. Jh.],[Z. Hälfte des JJ. Jh.],#. Hälfte ##. Jahrhundert,Z. Hälfte JJ. Jahrhundert
