input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
"####, #### ? ####","JJJJ, ZZZZ ? XXXX","1945, 1947 ? 1949","1945, 1947 ? 1949","####/####",JJJJ/XXXX,1945/1949,1945-01-01/1949-12-31
"####, ####, ####","JJJJ, ZZZZ, XXXX","1946, 1949, 1950","1946, 1949, 1950","####,####,####","JJJJ,ZZZZ,XXXX","1946,1949,1950",
"####, ####, ####, ####","JJJJ, XXXX, YYYY, ZZZZ","1894, 1895, 1897, 1899","1894, 1895, 1897, 1899","####,####,####,####","JJJJ,XXXX,YYYY,ZZZZ","1894,1895,1897,1899",
"####, ####, ####, ####, ####","JJJJ, XXXX, YYYY, ZZZZ, TTTT","1935, 1936, 1939, 1940, 1941","1935, 1936, 1939, 1940, 1941","####,####,####,####,####","JJJJ,XXXX,YYYY,ZZZZ,TTTT","1935,1936,1939,1940,1941",
"####, ##.","JJJJ, MM.","1972, 02.","1972, 02.","####-##",JJJJ-MM,1972-02,1972-02-01/1972-02-29
"####, ##. ##","JJJJ, MM. TT","1969, 05. 18","1969, 05. 18","####-##-##",JJJJ-MM-TT,1969-05-18,1969-05-18/1969-05-18
"####, ##. MM","JJJJ, TT. MM","1909, 10. Januar","1909, 10. MM","####-##-##",JJJJ-MM-TT,1909-01-10,1909-01-10/1909-01-10
"####, #. MM","JJJJ, T. MM","1909, 4. Januar","1909, 4. MM","####-##-0#",JJJJ-MM-0T,1909-01-04,1909-01-04/1909-01-04
"####, (####)","JJJJ, (ZZZZ)","2008, (2008)","2008, (2008)","####",JJJJ,2008,2008-01-01/2008-12-31
"####, [####?]","JJJJ, [ZZZZ?]","2005, [2005?]","2005, [2005?]",vermutlich ####,vermutlich JJJJ,vermutlich 2005,2005-01-01/2005-12-31
"####, [####]","JJJJ, [ZZZZ]","2011, [2011]","2011, [2011]","####",JJJJ,2011,2011-01-01/2011-12-31
"####, [ca. ####]","JJJJ, [ca. ZZZZ]","2007, [ca. 2007]","2007, [ca. 2007]",ca. ####,ca. JJJJ,ca. 2007,2006-01-01/2008-12-31
"####, c ####","JJJJ, c ZZZZ","2009, c 2009","2009, c 2009","####",JJJJ,2009,2009-01-01/2009-12-31
"####, MM","JJJJ, MM","1887, Oktober","1887, MM","####-##",JJJJ-MM,1887-10,1887-10-01/1887-10-31
"####, MM-####, MM","JJJJ, MM-ZZZZ, YY","2006, Juni-2010, Nov","2006, MM-2010, MM","####-##/####-##",JJJJ-MM/ZZZZ-YY,2006-06/2010-11,2006-06-01/2010-11-30
"####,# -","JJJJ,N -","2009,3 -","2009,3 -",ab ####,ab JJJJ,ab 2009,2009-01-01/2010-12-31
"####. ##",JJJJ. NN,1845. 46,1845. 46,"####",JJJJ,1845,1845-01-01/1845-12-31
"####. ####",JJJJ. ZZZZ,1866. 1867,1866. 1867,"####",JJJJ,1866,1866-01-01/1866-12-31
"####. ##. ##",JJJJ. MM. TT,1967. 01. 19,1967. 01. 19,"####-##-##",JJJJ-MM-TT,1967-01-19,1967-01-19/1967-01-19
"####.##",JJJJ.NN,1945.10,1945.10,"####",JJJJ,1945,1945-01-01/1945-12-31
"####.##-##",JJJJ.NN-OO,1841.42-46,1841.42-46,"####",JJJJ,1841,1841-01-01/1841-12-31
"####.##.",JJJJ.NN.,1927.05.,1927.05.,"####",JJJJ,1927,1927-01-01/1927-12-31
"####.##.##",JJJJ.MM.TT,1500.08.26,1500.08.26,"####-##-##",JJJJ-MM-TT,1500-08-26,1500-08-26/1500-08-26
"####.##.##.",JJJJ.MM.TT.,1489.03.21.,1489.03.21.,"####-##-##",JJJJ-MM-TT,1489-03-21,1489-03-21/1489-03-21
"####.##.##.- ####.##.##.",JJJJ.MM.TT.- ZZZZ.YY.XX.,1906.02.09.- 1906.02.13.,1906.02.09.- 1906.02.13.,"####-##-##/####-##-##",JJJJ-MM-TT/ZZZZ-YY-XX,1906-02-09/1906-02-13,1906-02-09/1906-02-13
"####/##",JJJJ/ZZ,1979/85,1979/85,"####,####","JJJJ,JJZZ","1979,1985",
-####/##,-JJJJ/ZZ,-1837/38,-1837/38,bis ####,bis JJZZ,bis 1838,1828-01-01/1838-12-31
"####/## = IX [Franz. Revolution]",JJJJ/ZZ = IX [Franz. Revolution],1800/01 = IX [Franz. Revolution],1800/01 = IX [Franz. Revolution],"####/####",JJJJ/JJZZ,1800/1801,1800-01-01/1801-12-31
"####/## = VI [Franz. Revolution]",JJJJ/ZZ = VI [Franz. Revolution],1797/98 = VI [Franz. Revolution],1797/98 = VI [Franz. Revolution],"####/####",JJJJ/JJZZ,1797/1798,1797-01-01/1798-12-31
"####/## = VII [Franz. Revolution]",JJJJ/ZZ = VII [Franz. Revolution],1798/99 = VII [Franz. Revolution],1798/99 = VII [Franz. Revolution],"####/####",JJJJ/JJZZ,1798/1799,1798-01-01/1799-12-31
"####/## = X [Franz. Revolution]",JJJJ/ZZ = X [Franz. Revolution],1801/02 = X [Franz. Revolution],1801/02 = X [Franz. Revolution],"####/####",JJJJ/JJZZ,1801/1802,1801-01-01/1802-12-31
"####/#### (?)",JJJJ/ZZZZ (?),1900/1945 (?),1900/1945 (?),"####/####",JJJJ/ZZZZ,1900/1945,1900-01-01/1945-12-31
"####/#### (Nachtrag ####)",JJJJ/ZZZZ (Nachtrag XXXX),1886/1988 (Nachtrag 1991),1886/1988 (Nachtrag 1991),"####,####","JJJJ,ZZZZ","1886,1988",
"####/#### (um)",JJJJ/ZZZZ (um),1935/1950 (um),1935/1950 (um),um ####/um ####,um JJJJ/um ZZZZ,um 1935/um 1950,1934-01-01/1951-12-31
"####/#### = VIII [Franz. Revolution]",JJJJ/ZZZZ = VIII [Franz. Revolution],1799/1800 = VIII [Franz. Revolution],1799/1800 = VIII [Franz. Revolution],"####/####",JJJJ/ZZZZ,1799/1800,1799-01-01/1800-12-31
"####/##(####) -",JJJJ/XX(ZZZZ) -,2002/03(2003) -,2002/03(2003) -,ab ####,ab JJJJ,ab 2002,2002-01-01/2003-12-31
"####/##.##.##",JJJJ/ZZ.MM.TT,1496/97.01.21,1496/97.01.21,"####-01-01/####-##-##",JJJJ-01-01/JJZZ-MM-TT,1496-01-01/1497-01-21,1496-01-01/1497-01-21
"####/##/##",JJJJ/MM/TT,2012/01/15,2012/01/15,"####-##-##",JJJJ-MM-TT,2012-01-15,2012-01-15/2012-01-15
"####/[####]",JJJJ/[ZZZZ],1287/[1870],1287/[1870],"####",JJJJ,1287,1287-01-01/1287-12-31
"####?",JJJJ?,1965?,1965?,ca. ####,ca. JJJJ,ca. 1965,1964-01-01/1966-12-31
"####= ### [jüd. Zeit]",JJJJ= ZZZ [jüd. Zeit],1698= 558 [jüd. Zeit],1698= 558 [jüd. Zeit],"####",JJJJ,1698,1698-01-01/1698-12-31
"####-00-00",JJJJ-00-00,2012-00-00,2012-00-00,"####",JJJJ,2012,2012-01-01/2012-12-31
"##,####","NN,JJJJ","05,1963","05,1963","####",JJJJ,1963,1963-01-01/1963-12-31
"##. - ##. Jh.",JJ. - ZZ. Jh.,12. - 15. Jh.,12. - 15. Jh.,"##. Jahrhundert/##. Jahrhundert",JJ. Jahrhundert/ZZ. Jahrhundert,12. Jahrhundert/15. Jahrhundert,1101-01-01/1500-12-31
"##. ? ##. MM ####",TT. ? XX. MM JJJJ,16. ? 17. März 1949,16. ? 17. MM 1949,"####-##-##/####-##-##",JJJJ-MM-TT/JJJJ-MM-XX,1949-03-16/1949-03-17,1949-03-16/1949-03-17
"##. ####",NN. JJJJ,12. 1948,12. 1948,"####",JJJJ,1948,1948-01-01/1948-12-31
"##. Jh.",JJ. Jh.,15. Jh.,15. Jh.,"##. Jahrhundert",JJ. Jahrhundert,15. Jahrhundert,1401-01-01/1500-12-31
"##. Jh. (Anf.)",JJ. Jh. (Anf.),16. Jh. (Anf.),16. Jh. (Anf.),Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert,Anfang 16. Jahrhundert,1501-01-01/1515-12-31
"##. MM ####",TT. MM JJJJ,22. Februar 1892,22. MM 1892,"####-##-##",JJJJ-MM-TT,1892-02-22,1892-02-22/1892-02-22
"##. und ##. Jahrh.",JJ. und ZZ. Jahrh.,16. und 17. Jahrh.,16. und 17. Jahrh.,"##. Jahrhundert,##. Jahrhundert","JJ. Jahrhundert,ZZ. Jahrhundert","16. Jahrhundert,17. Jahrhundert",
"##. und ##. Jh.",JJ. und ZZ. Jh.,15. und 16. Jh.,15. und 16. Jh.,"##. Jahrhundert,##. Jahrhundert","JJ. Jahrhundert,ZZ. Jahrhundert","15. Jahrhundert,16. Jahrhundert",
"##.####",NN.JJJJ,10.1967,10.1967,"####",JJJJ,1967,1967-01-01/1967-12-31
"##.#### -",NN.JJJJ -,64.2009 -,64.2009 -,ab ####,ab JJJJ,ab 2009,2009-01-01/2010-12-31
"##.#### - ##.####; lückenhaft",NN.JJJJ - OO.ZZZZ; lückenhaft,87.1941 - 91.1944; lückenhaft,87.1941 - 91.1944; lückenhaft,"####/####",JJJJ/ZZZZ,1941/1944,1941-01-01/1944-12-31
"##.-##. Jh.",JJ.-ZZ. Jh.,14.-15. Jh.,14.-15. Jh.,"##. Jahrhundert/##. Jahrhundert",JJ. Jahrhundert/ZZ. Jahrhundert,14. Jahrhundert/15. Jahrhundert,1301-01-01/1500-12-31
"##.##.##",TT.MM.JJ,12.03.96,12.03.96,19##-##-##,19JJ-MM-TT,1996-03-12,1996-03-12/1996-03-12
"##.##.####",TT.MM.JJJJ,01.01.2011,01.01.2011,"####-##-##",JJJJ-MM-TT,2011-01-01,2011-01-01/2011-01-01
"##.-##.#. ####",TT.-XX.M. JJJJ,12.-15.3. 1904,12.-15.3. 1904,"####-0#-##/####-0#-##",JJJJ-0M-TT/JJJJ-0M-XX,1904-03-12/1904-03-15,1904-03-12/1904-03-15
"##.##.0#",TT.MM.0J,12.03.00,12.03.00,200#-##-##,200J-MM-TT,2000-03-12,2000-03-12/2000-03-12
"##.#.####",TT.M.JJJJ,11.2.1765,11.2.1765,"####-0#-##",JJJJ-0M-TT,1765-02-11,1765-02-11/1765-02-11
"##./##. Jh.",JJ./ZZ. Jh.,19./20. Jh.,19./20. Jh.,"##. Jahrhundert/##. Jahrhundert",JJ. Jahrhundert/ZZ. Jahrhundert,19. Jahrhundert/20. Jahrhundert,1801-01-01/2000-12-31
"##/##/####",MM/TT/JJJJ,10/27/1994,10/27/1994,"####-##-##",JJJJ-MM-TT,1994-10-27,1994-10-27/1994-10-27
"##/#/####",MM/T/JJJJ,12/3/1960,12/3/1960,"####-##-0#",JJJJ-MM-0T,1960-12-03,1960-12-03/1960-12-03
"##uu",JJuu,20uu,20uu,"##00/##99",JJ00/JJ99,2000/2099,2000-01-01/2099-12-31
"##XX",JJXX,19XX,19XX,nach ##00,nach JJ00,nach 1900,1900-01-01/1925-12-31
"#,####","M,JJJJ","5,1963","5,1963","####-0#",JJJJ-0M,1963-05,1963-05-01/1963-05-31
"#. Drittel #. Jh.",Z. Drittel J. Jh.,1. Drittel 9. Jh.,1. Drittel 9. Jh.,"#. Drittel #. Jahrhundert",Z. Drittel J. Jahrhundert,1. Drittel 9. Jahrhundert,0801-01-01/0833-12-31
"#. Hälfte ##. Jh.",Z. Hälfte JJ. Jh.,2. Hälfte 15. Jh.,2. Hälfte 15. Jh.,"#. Hälfte ##. Jahrhundert",Z. Hälfte JJ. Jahrhundert,2. Hälfte 15. Jahrhundert,1451-01-01/1500-12-31
"#. Jh.",J. Jh.,9. Jh.,9. Jh.,"#. Jahrhundert",J. Jahrhundert,9. Jahrhundert,0801-01-01/0900-12-31
"#. MM ####",T. MM JJJJ,1. Aug. 1862,1. MM 1862,"####-##-0#",JJJJ-MM-0T,1862-08-01,1862-08-01/1862-08-01
"#. Viertel ##. Jh.",Z. Viertel JJ. Jh.,1. Viertel 15. Jh.,1. Viertel 15. Jh.,"#. Viertel ##. Jahrhundert",Z. Viertel JJ. Jahrhundert,1. Viertel 15. Jahrhundert,1401-01-01/1425-12-31
"#. Viertel #. Jh.",Z. Viertel J. Jh.,2. Viertel 9. Jh.,2. Viertel 9. Jh.,"#. Viertel #. Jahrhundert",Z. Viertel J. Jahrhundert,2. Viertel 9. Jahrhundert,0826-01-01/0850-12-31
"#.####",N.JJJJ,1.1975,1.1975,"####",JJJJ,1975,1975-01-01/1975-12-31
"#.#### -",N.JJJJ -,2.2009 -,2.2009 -,ab ####,ab JJJJ,ab 2009,2009-01-01/2010-12-31
"#.#### - ##.####",N.JJJJ - OO.ZZZZ,1.1919 - 23.1919,1.1919 - 23.1919,"####/####",JJJJ/ZZZZ,1919/1919,1919-01-01/1919-12-31
"#.#### - #.####",N.JJJJ - O.ZZZZ,1.1915 - 2.1916,1.1915 - 2.1916,"####/####",JJJJ/ZZZZ,1915/1916,1915-01-01/1916-12-31
"#.##.####",T.MM.JJJJ,9.12.1887,9.12.1887,"####-##-0#",JJJJ-MM-0T,1887-12-09,1887-12-09/1887-12-09
"#.#.####",T.M.JJJJ,1.8.1955,1.8.1955,"####-0#-0#",JJJJ-0M-0T,1955-08-01,1955-08-01/1955-08-01
"#/##/####",M/TT/JJJJ,2/28/1995,2/28/1995,"####-0#-##",JJJJ-0M-TT,1995-02-28,1995-02-28/1995-02-28
"#/#/####",M/T/JJJJ,5/2/1996,5/2/1996,"####-0#-0#",JJJJ-0M-0T,1996-05-02,1996-05-02/1996-05-02
(#### - ####),(JJJJ - ZZZZ),(1644 - 1647),(1644 - 1647),"####/####",JJJJ/ZZZZ,1644/1647,1644-01-01/1647-12-31
(#### -) ####,(JJJJ -) ZZZZ,(1864 -) 1866,(1864 -) 1866,"####/####",JJJJ/ZZZZ,1864/1866,1864-01-01/1866-12-31
(####),(JJJJ),(1972),(1972),"####",JJJJ,1972,1972-01-01/1972-12-31
(####) ####,(JJJJ) ZZZZ,(1645) 1698,(1645) 1698,"####",ZZZZ,1698,1698-01-01/1698-12-31
(####) = XI [Franz. Revolution],(JJJJ) = XI [Franz. Revolution],(1803) = XI [Franz. Revolution],(1803) = XI [Franz. Revolution],"####",JJJJ,1803,1803-01-01/1803-12-31
(####.##.##),(JJJJ.MM.TT),(1498.12.24),(1498.12.24),"####-##-##",JJJJ-MM-TT,1498-12-24,1498-12-24/1498-12-24
(####.##.##.),(JJJJ.MM.TT.),(1484.07.31.),(1484.07.31.),"####-##-##",JJJJ-MM-TT,1484-07-31,1484-07-31/1484-07-31
(####/####) = VIII [Franz. Revolution],(JJJJ/ZZZZ) = VIII [Franz. Revolution],(1799/1800) = VIII [Franz. Revolution],(1799/1800) = VIII [Franz. Revolution],"####/####",JJJJ/ZZZZ,1799/1800,1799-01-01/1800-12-31
(####/##) = IX [Franz. Revolution],(JJJJ/ZZ) = IX [Franz. Revolution],(1800/01) = IX [Franz. Revolution],(1800/01) = IX [Franz. Revolution],"####/####",JJJJ/JJZZ,1800/1801,1800-01-01/1801-12-31
(####/##) = VII [Franz. Revolution],(JJJJ/ZZ) = VII [Franz. Revolution],(1798/99) = VII [Franz. Revolution],(1798/99) = VII [Franz. Revolution],"####/####",JJJJ/JJZZ,1798/1799,1798-01-01/1799-12-31
([####-####],([JJJJ-ZZZZ],([1770-1790],([1770-1790],"####/####",JJJJ/ZZZZ,1770/1790,1770-01-01/1790-12-31
(c. ####),(c. JJJJ),(c. 1860),(c. 1860),ca. ####,ca. JJJJ,ca. 1860,1858-01-01/1862-12-31
(ca. ####),(ca. JJJJ),(ca. 1850),(ca. 1850),ca. ####,ca. JJJJ,ca. 1850,1848-01-01/1852-12-31
[### MM #],[JJJ MM T],[751 November 4],[751 MM 4],0###-##-0#,0JJJ-MM-0T,0751-11-04,0751-11-04/0751-11-04
[#### - ####],[JJJJ - ZZZZ],[1469 - 1470],[1469 - 1470],"####/####",JJJJ/ZZZZ,1469/1470,1469-01-01/1470-12-31
[#### ?],[JJJJ ?],[1843 ?],[1843 ?],ca. ####,ca. JJJJ,ca. 1843,1841-01-01/1845-12-31
[#### Jh.],[JJZZ Jh.],[1500 Jh.],[1500 Jh.],"##. Jahrhundert",JJ. Jahrhundert,15. Jahrhundert,1401-01-01/1500-12-31
[#### MM #],[JJJJ MM T],[1623 Dezember 2],[1623 MM 2],"####-##-0#",JJJJ-MM-0T,1623-12-02,1623-12-02/1623-12-02
[####-####],[JJJJ-ZZZZ],[1650-1674],[1650-1674],"####/####",JJJJ/ZZZZ,1650/1674,1650-01-01/1674-12-31
[####-####],[JJJJ-ZZZZ],[1770-1790],[1770-1790],"####/####",JJJJ/ZZZZ,1770/1790,1770-01-01/1790-12-31
[####/##],[JJJJ/ZZ],[1979/80],[1979/80],"####,####","JJJJ,JJZZ","1979,1980",
[####?],[JJJJ?],[1868?],[1868?],vermutlich ####,vermutlich JJJJ,vermutlich 1868,1868-01-01/1868-12-31
[####],[JJJJ],[1495],[1495],"####",JJJJ,1495,1495-01-01/1495-12-31
[####] = ####,[JJJJ] = ZZZZ,[1830] = 1246,[1830] = 1246,"####",JJJJ,1830,1830-01-01/1830-12-31
[####] = #### [h.],[JJJJ] = ZZZZ [h.],[1862] = 1278 [h.],[1862] = 1278 [h.],"####",JJJJ,1862,1862-01-01/1862-12-31
[####] = #### h.,[JJJJ] = ZZZZ h.,[1871] = 1288 h.,[1871] = 1288 h.,"####",JJJJ,1871,1871-01-01/1871-12-31
[###] MM ##,[JJJ] MM TT,[855] Mai 22,[855] MM 22,0###-##-##,0JJJ-MM-TT,0855-05-22,0855-05-22/0855-05-22
[##. - ##. Jh.],[JJ. - ZZ. Jh.],[15. - 16. Jh.],[15. - 16. Jh.],"##. Jahrhundert/##. Jahrhundert",JJ. Jahrhundert/ZZ. Jahrhundert,15. Jahrhundert/16. Jahrhundert,1401-01-01/1600-12-31
[##. Jahrh.],[JJ. Jahrh.],[12. Jahrh.],[12. Jahrh.],"##. Jahrhundert",JJ. Jahrhundert,12. Jahrhundert,1101-01-01/1200-12-31
[##. Jh. Anfang],[JJ. Jh. Anfang],[16. Jh. Anfang],[16. Jh. Anfang],Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert,Anfang 16. Jahrhundert,1501-01-01/1515-12-31
[##. Jh.],[JJ. Jh.],[18. Jh.],[18. Jh.],"##. Jahrhundert",JJ. Jahrhundert,18. Jahrhundert,1701-01-01/1800-12-31
[##. und ##. Jh.],[JJ. und ZZ. Jh.],[15. und 16. Jh.],[15. und 16. Jh.],"##. Jahrhundert,##. Jahrhundert","JJ. Jahrhundert,ZZ. Jahrhundert","15. Jahrhundert,16. Jahrhundert",
[##]##,[JJ]ZZ,[15]58,[15]58,"####",JJZZ,1558,1558-01-01/1558-12-31
[##]##.##.##.,[JJ]ZZ.MM.TT.,[14]78.05.07.,[14]78.05.07.,"####-##-##",JJZZ-MM-TT,1478-05-07,1478-05-07/1478-05-07
[#. Drittel ##. Jh.],[Z. Drittel JJ. Jh.],[1. Drittel 18. Jh.],[1. Drittel 18. Jh.],"#. Drittel ##. Jahrhundert",Z. Drittel JJ. Jahrhundert,1. Drittel 18. Jahrhundert,1701-01-01/1733-12-31
[#. Drittel des ##. Jh.],[Z. Drittel des JJ. Jh.],[3. Drittel des 13. Jh.],[3. Drittel des 13. Jh.],"#. Drittel ##. Jahrhundert",Z. Drittel JJ. Jahrhundert,3. Drittel 13. Jahrhundert,1267-01-01/1299-12-31
[#. Drittel des #. Jh.],[Z. Drittel des J. Jh.],[1. Drittel des 9. Jh.],[1. Drittel des 9. Jh.],"#. Drittel #. Jahrhundert",Z. Drittel J. Jahrhundert,1. Drittel 9. Jahrhundert,0801-01-01/0833-12-31
[#. Hälfte ##. Jahrh.],[Z. Hälfte JJ. Jahrh.],[1. Hälfte 19. Jahrh.],[1. Hälfte 19. Jahrh.],"#. Hälfte ##. Jahrhundert",Z. Hälfte JJ. Jahrhundert,1. Hälfte 19. Jahrhundert,1801-01-01/1850-12-31
[#. Hälfte ##. Jh.],[Z. Hälfte JJ. Jh.],[1. Hälfte 18. Jh.],[1. Hälfte 18. Jh.],"#. Hälfte ##. Jahrhundert",Z. Hälfte JJ. Jahrhundert,1. Hälfte 18. Jahrhundert,1701-01-01/1750-12-31
[#. Hälfte des ##. Jh.],[Z. Hälfte des JJ. Jh.],[2. Hälfte des 15. Jh.],[2. Hälfte des 15. Jh.],"#. Hälfte ##. Jahrhundert",Z. Hälfte JJ. Jahrhundert,2. Hälfte 15. Jahrhundert,1451-01-01/1500-12-31
[#. Jh.],[J. Jh.],[9. Jh.],[9. Jh.],"#. Jahrhundert",J. Jahrhundert,9. Jahrhundert,0801-01-01/0900-12-31
[#. Quartal ##. Jh.],[Z. Quartal JJ. Jh.],[1. Quartal 18. Jh.],[1. Quartal 18. Jh.],"#. Viertel ##. Jahrhundert",Z. Viertel JJ. Jahrhundert,1. Viertel 18. Jahrhundert,1701-01-01/1725-12-31
[#. Quartal ##. Jh.],[Z. Quartal JJ. Jh.],[2. Quartal 18. Jh.],[2. Quartal 18. Jh.],"#. Viertel ##. Jahrhundert",Z. Viertel JJ. Jahrhundert,2. Viertel 18. Jahrhundert,1726-01-01/1750-12-31
[(####)],[(JJJJ)],[(1853)],[(1853)],"####",JJJJ,1853,1853-01-01/1853-12-31
[Anfang ##. Jh.],[Anfang JJ. Jh.],[Anfang 10. Jh.],[Anfang 10. Jh.],Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert,Anfang 10. Jahrhundert,0901-01-01/0915-12-31
[Anno ####],[Anno JJJJ],[Anno 1643],[Anno 1643],"####",JJJJ,1643,1643-01-01/1643-12-31
[c ####],[c JJJJ],[c 1687],[c 1687],"####",JJJJ,1687,1687-01-01/1687-12-31
[c. ####],[c. JJJJ],[c. 1850],[c. 1850],ca. ####,ca. JJJJ,ca. 1850,1848-01-01/1852-12-31
[ca. #### - ####],[ca. JJJJ - ZZZZ],[ca. 1200 - 1250],[ca. 1200 - 1250],ca. ####/####,ca. JJJJ/ZZZZ,ca. 1200/1250,1195-01-01/1250-12-31
[ca. ####-####],[ca. JJJJ-ZZZZ],[ca. 1970-1985],[ca. 1970-1985],ca. ####/ca. ####,ca. JJJJ/ca. ZZZZ,ca. 1970/ca. 1985,1969-01-01/1986-12-31
[ca. ####-##],[ca. JJJJ-ZZ],[ca. 1492-96],[ca. 1492-96],ca. ####/ca. ####,ca. JJJJ/ca. JJZZ,ca. 1492/ca. 1496,1487-01-01/1501-12-31
[ca. ####/####],[ca. JJJJ/ZZZZ],[ca. 1498/1500],[ca. 1498/1500],ca. ####/ca. ####,ca. JJJJ/ca. ZZZZ,ca. 1498/ca. 1500,1493-01-01/1505-12-31
[ca. ####/##],[ca. JJJJ/ZZ],[ca. 1481/87],[ca. 1481/87],ca. ####/ca. ####,ca. JJJJ/ca. JJZZ,ca. 1481/ca. 1487,1476-01-01/1492-12-31
[ca. ####?],[ca. JJJJ?],[ca. 1500?],[ca. 1500?],ca. ####,ca. JJJJ,ca. 1500,1495-01-01/1505-12-31
[ca. ####],[ca. JJJJ],[ca. 1965],[ca. 1965],ca. ####,ca. JJJJ,ca. 1965,1964-01-01/1966-12-31
[ca.####],[ca.JJJJ],[ca.1850],[ca.1850],ca. ####,ca. JJJJ,ca. 1850,1848-01-01/1852-12-31
[circa ####],[circa JJJJ],[circa 1533],[circa 1533],ca. ####,ca. JJJJ,ca. 1533,1528-01-01/1538-12-31
[ersch. ####],[ersch. JJJJ],[ersch. 1720],[ersch. 1720],"####",JJJJ,1720,1720-01-01/1720-12-31
[i.e. ####?],[i.e. JJJJ?],[i.e. 1767?],[i.e. 1767?],vermutlich ####,vermutlich JJJJ,vermutlich 1767,1767-01-01/1767-12-31
[i.e.####],[i.e.JJJJ],[i.e.1625],[i.e.1625],"####",JJJJ,1625,1625-01-01/1625-12-31
[MM ####],[MM JJJJ],[Dez. 1503],[MM 1503],"####-##",JJJJ-MM,1503-12,1503-12-01/1503-12-31
[nach ####.##.##.],[nach JJJJ.MM.TT.],[nach 1491.03.02.],[nach 1491.03.02.],nach ####-##-##,nach JJJJ-MM-TT,nach 1491-03-02,1491-03-02/1516-03-02
[nach ####.##.##],[nach JJJJ.MM.TT],[nach 1496.02.24],[nach 1496.02.24],nach ####-##-##,nach JJJJ-MM-TT,nach 1496-02-24,1496-02-24/1521-02-24
[nach ####?],[nach JJJJ?],[nach 1500?],[nach 1500?],nach ####,nach JJJJ,nach 1500,1500-01-01/1525-12-31
[nach ####],[nach JJJJ],[nach 1472],[nach 1472],nach ####,nach JJJJ,nach 1472,1472-01-01/1497-12-31
[nach ##. MM ####],[nach TT. MM JJJJ],[nach 23. Mai 1498],[nach 23. MM 1498],nach ####-##-##,nach JJJJ-MM-TT,nach 1498-05-23,1498-05-23/1523-05-23
[nach #. MM ####],[nach T. MM JJJJ],[nach 8. Mai 1497],[nach 8. MM 1497],nach ####-##-0#,nach JJJJ-MM-0T,nach 1497-05-08,1497-05-08/1522-05-08
[nicht nach ####.##.##.],[nicht nach JJJJ.MM.TT.],[nicht nach 1476.06.15.],[nicht nach 1476.06.15.],vor ####-##-##,vor JJJJ-MM-TT,vor 1476-06-15,1426-06-15/1476-06-14
[nicht nach ####],[nicht nach JJJJ],[nicht nach 1474],[nicht nach 1474],vor ####,vor JJJJ,vor 1474,1424-01-01/1473-12-31
[nicht vor ####.##.##.],[nicht vor JJJJ.MM.TT.],[nicht vor 1499.03.28.],[nicht vor 1499.03.28.],nach ####-##-##,nach JJJJ-MM-TT,nach 1499-03-28,1499-03-28/1524-03-28
[nicht vor ####.##.##],[nicht vor JJJJ.MM.TT],[nicht vor 1499.12.22],[nicht vor 1499.12.22],nach ####-##-##,nach JJJJ-MM-TT,nach 1499-12-22,1499-12-22/1524-12-22
[nicht vor ####.##.],[nicht vor JJJJ.MM.],[nicht vor 1492.05.],[nicht vor 1492.05.],nach ####-##,nach JJJJ-MM,nach 1492-05,1492-05-01/1517-05-31
[nicht vor ####],[nicht vor JJJJ],[nicht vor 1777],[nicht vor 1777],nach ####,nach JJJJ,nach 1777,1777-01-01/1802-12-31
[um #### - ####],[um JJJJ - ZZZZ],[um 1710 - 1729],[um 1710 - 1729],um ####/####,um JJJJ/ZZZZ,um 1710/1729,1708-01-01/1729-12-31
[um #### - um ####],[um JJJJ - um ZZZZ],[um 1675 - um 1750],[um 1675 - um 1750],um ####/####,um JJJJ/ZZZZ,um 1675/1750,1670-01-01/1750-12-31
[um ####/##],[um JJJJ/ZZ],[um 1460/65],[um 1460/65],"um ####,um ####","um JJJJ,um JJZZ","um 1460,um 1465",
[um ####?],[um JJJJ?],[um 1470?],[um 1470?],vermutlich ####,vermutlich JJJJ,vermutlich 1470,1470-01-01/1470-12-31
[um ####],[um JJJJ],[um 1350],[um 1350],um ####,um JJJJ,um 1350,1345-01-01/1355-12-31
[um ####],[um JJJJ],[um 1550],[um 1550],um ####,um JJJJ,um 1550,1545-01-01/1555-12-31
[vor ####.##.##.],[vor JJJJ.MM.TT.],[vor 1473.06.05.],[vor 1473.06.05.],vor ####-##-##,vor JJJJ-MM-TT,vor 1473-06-05,1423-06-05/1473-06-04
[vor ####],[vor JJJJ],[vor 1900],[vor 1900],vor ####,vor JJJJ,vor 1900,1897-01-01/1899-12-31
an VII [i.e.####/##],an VII [i.e.JJJJ/ZZ],an VII [i.e.1797/98],an VII [i.e.1797/98],"####,####","JJJJ,JJZZ","1797,1798",
Anfang ##. Jh.,Anfang JJ. Jh.,Anfang 17. Jh.,Anfang 17. Jh.,Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert,Anfang 17. Jahrhundert,1601-01-01/1615-12-31
Anfang #. Jh.,Anfang J. Jh.,Anfang 9. Jh.,Anfang 9. Jh.,Anfang #. Jahrhundert,Anfang J. Jahrhundert,Anfang 9. Jahrhundert,0801-01-01/0815-12-31
