input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
"#.#### - ##.[####][?]",N.JJJJ - QQ.[ZZZZ][?],1.1911 - 84.[1923][?],1.1911 - 84.[1923][?],ca. ####/ca. ####,ca. JJJJ/ca. ZZZZ,ca. 1911/ca. 1923,1910-01-01/1924-12-31
"####-####",JJJJ-ZZZZ,1973-2009,1973-2009,"####/####",JJJJ/ZZZZ,1973/2009,1973-01-01/2009-12-31
"#.#### - ##.#### = Nr. #-###",P.JJJJ - NN.ZZZZ = Nr. Q-WWW,1.1912 - 46.1936 = Nr. 1-411,1.1912 - 46.1936 = Nr. 1-411,"####/####",JJJJ/ZZZZ,1912/1936,1912-01-01/1936-12-31
Nachgewiesen #### - ####,Nachgewiesen JJJJ - ZZZZ,Nachgewiesen 1999 - 2007,Nachgewiesen 1999 - 2007,"####/####",JJJJ/ZZZZ,1999/2007,1999-01-01/2007-12-31
"# v. Chr.",J v. Chr.,2 v. Chr.,2 v. Chr.,-#,-J,-2,-0001-01-01/-0001-12-31
"## v. Chr.",JJ v. Chr.,20 v. Chr.,20 v. Chr.,-##,-JJ,-20,-0019-01-01/-0019-12-31
"### v. Chr.",JJJ v. Chr.,200 v. Chr.,200 v. Chr.,-###,-JJJ,-200,-0199-01-01/-0199-12-31
"#### v. Chr.",JJJJ v. Chr.,2000 v. Chr.,2000 v. Chr.,-####,-JJJJ,-2000,-1999-01-01/-1999-12-31
"##### v. Chr.",JJJJJ v. Chr.,20000 v. Chr.,20000 v. Chr.,-#####,-JJJJJ,-20000,-19999-01-01/-19999-12-31
"###### v. Chr.",JJJJJJ v. Chr.,200000 v. Chr.,200000 v. Chr.,-######,-JJJJJJ,-200000,-199999-01-01/-199999-12-31
"####### v. Chr.",JJJJJJJ v. Chr.,2000000 v. Chr.,2000000 v. Chr.,-#######,-JJJJJJJ,-2000000,-1999999-01-01/-1999999-12-31
